,Hebrew Gematria,Standard English,English Qaballa,Trigrammaton Eng Qaballah
THE DREAMER,318,582,155,128
MAJOR GARLAND BRIGGS,1109,1056,186,211
GARLAND BRIGGS,348,714,129,154
DREAMER,205,384,102,103
BABYLON,515,426,79,98
SCARLET WOMAN,1320,864,128,127
MOONCHILD,214,558,97,94
THE BEAST,311,480,128,87
BABALON,116,282,65,85
THEFIREMAN,284,594,167,114
FIREMAN,171,396,114,89
OIL,79,216,32,11
DAVID LYNCH,1189,612,94,121
GORDON,231,438,57,92
MARK FROST,447,726,109,117
FIRE,100,228,78,39
AIR,90,168,36,19
WATER,1086,402,65,49
EARTH,194,312,66,44
ELECTRICITY,734,774,199,81
BUCK,215,222,59,64
TRUCK,393,438,75,67
PIERRE TREMOND,548,960,232,172
PIERRE CHALFONT,467,900,206,124
BLACK LODGE,122,432,96,103
WHITE LODGE,1108,648,130,91
THE WHITE LODGE,1221,846,183,116
TIBET,216,336,116,51
CHEMICALS,169,438,107,62
ENGINE OIL,185,540,144,96
NAG HAMMADI,131,426,103,118
INSURANCE,468,624,124,122
RICHARD HORNE,368,726,133,125
OWL OF ATHENA,1181,720,106,100
ATHENA,155,294,69,59
JUSTICE,1007,522,123,71
TZEDEK,624,426,97,94
RA,81,114,13,19
HATHOR,247,420,52,44
TRIA PRIMA,370,630,143,72
MONKEY,535,498,91,103
JACK,614,150,39,31
JACK PARSONS,1025,762,109,118
BLUE MONKEY,762,738,155,162
KPJK,680,288,60,45
THE FOOL,239,486,87,58
THE BOOK OF THE LAW,1315,996,180,143
BOOK OF THE LAW,1202,798,127,118
LAW,921,216,6,14
THELEMA,169,384,102,65
THE RING,249,486,113,74
RING,136,288,60,49
ROSE,225,342,49,52
WHITE ROSE,1247,732,128,85
RED ROSE,314,504,92,102
CHERRY PIE,650,642,155,81
PIE,74,180,74,17
IPSOS,299,468,66,44
THMAIST,338,540,102,62
TRUE WILL,1334,720,108,71
THE LITTLE GIRL WHO LIVES DOWN THE LANE,3438,2346,405,289
 THE LITTLE GIRL WHO LIVED DOWN THE LANE,3352,2256,406,297
HORUS,428,486,45,67
MAAT,132,210,47,40
SARAH NOVACK,984,678,77,122
NOVACK,804,396,54,80
OWLS,1060,414,17,34
THE OWLS,1173,612,70,59
THE OWL,1083,498,65,44
DOPPELGANGER,339,720,166,133
MRC,113,204,46,37
HOWS ANNIE,1143,648,96,102
NIGHT OF PAN,321,660,142,102
L RON HUBBARD,487,690,115,159
HUBBARD,297,336,80,110
SARAH JUDITH NOVACK,1905,1110,167,189
SARA NORTHRUP HOLLISTER,1172,1722,239,208
SARA HOLLISTER,554,942,123,105
HOLLISTER,382,708,104,66
NORTHRUP,618,780,116,103
SARA NORTHRUP,790,1014,135,142
BERNICE,144,336,132,86
LAFAYETTE RONALD HUBBARD,1130,1290,257,272
MARJORIE CAMERON,1064,948,210,173
MARJORIE,855,534,117,84
CAMERON,209,414,93,89
MARJORIE PARSONS,1266,1146,187,171
MARJORIE CAMERON PARSONS KIMMEL,1579,1938,381,333
PARSONS,411,612,70,87
COCAINE,111,300,96,56
BRIDAL CHAMBER,245,576,160,141
 KETTLE,240,438,109,62
 PERCOLATOR,449,738,129,82
 THERES A FISH IN THE PERCOLATOR,1013,1782,365,233
 CONVENIENCE STORE,1225,1116,256,208
 TEMPLE,220,426,123,61
 ALICE TREMOND,347,714,173,135
 ALICE,38,180,64,21
MARY REBER,683,630,143,132
JEU,805,216,58,45
LILIT,158,372,74,11
LILITH,166,420,78,14
ALOSTER KERVAL,1162,954,135,139
WENT,1045,372,66,54
GREAT WENT,1238,678,139,106
FART,187,270,55,40
BLANK AS A FART,352,636,108,132
 BLANK,73,240,46,67
JACQUES RENAULT,1415,1002,191,174
DIARY,494,342,57,60
PETAL,186,324,78,32
FLOWER,1061,474,67,58
WOWBOBWOW,3754,846,73,102
WOW,1850,366,13,26
MOM,110,246,49,52
JADE,610,120,48,48
WHITE OF THE EYES,1691,1038,227,139
HORSE,233,390,53,55
DARKNESS WITHIN,1386,1044,168,170
PITYS,659,534,93,46
PAN,101,186,41,33
BAR,83,126,33,39
BANG,50,144,46,60
THE BANG BANG BAR,296,612,178,184
ELKS POINT BAR,467,852,168,132
 DAVID,718,240,46,73
LYNCH,471,372,48,48
MAGUS,328,366,55,77
THE MAGUS,441,564,108,102
NOETIC,207,396,106,58
ASTRAL,292,426,45,49
BODY,456,276,48,71
HAPI,78,204,54,12
PROBATIONER,477,798,171,123
AANI,51,150,39,34
FROST,326,468,66,60
CROSS,313,444,42,56
ROSE AND CROSS,583,900,112,160
SARAH,180,282,23,42
DODGE,70,210,55,80
SHOE,153,282,41,41
HORSE SHOE,386,672,94,96
CLEAN HOUSE,422,618,113,111
ORGANIZED,696,594,107,119
VALERO,856,438,57,65
MJ,630,138,37,28
HAIR TREE,288,504,126,71
EL,25,102,27,14
ABYSS,583,396,46,73
CHORONZON,821,768,86,116
BILLY,451,360,62,40
DANCE,53,162,59,67
AUDREYS DANCE,833,720,140,180
RED SHOES,332,558,89,106
DREAM,120,246,65,76
UNCONSCIOUS,775,918,135,152
CRAZY,984,438,49,58
HOSPITAL,338,600,92,47
ROBIN,181,348,76,68
VARIED THRUSH,1285,918,143,146
THRUSH,486,564,66,69
ROBERTSON,497,756,126,129
SMILE,154,348,76,50
SMILING,205,498,99,72
RUN,320,318,43,63
CAHOKIA,82,288,58,42
TIPARETH,363,582,139,57
DEAD DOG FARM,192,468,114,160
SPIRIT,348,546,113,42
ETHER,198,336,90,52
AETHER,199,342,91,57
AETHYR,594,462,81,62
SAW MILL,1070,534,57,51
GAS FARM,215,390,69,83
GAS STATION,488,750,115,103
WATCH TOWER,2147,816,116,81
THE GIFTED,244,504,160,93
THE DAMNED,197,444,126,134
MOON,170,342,49,65
RABBIT,194,312,100,68
STAR,271,348,42,43
DINER,138,300,80,74
THEBOOKOFTHELAW,1315,996,180,143
THE LAW,1034,414,59,39
KEY,415,246,49,48
PUKA,271,294,53,51
POOKA,171,348,50,46
YEAR,486,294,53,50
ROBIN GOODFELLOW,1293,1032,164,167
GOODFELLOW,1112,684,88,99
SWEET PUCK,1373,738,147,106
PUCK,273,306,65,48
UNDERSTAND,564,720,124,175
UNDERSTANDING,620,900,172,210
WOMAN OF THE NIGHT,1354,1068,200,162
LOVE,775,324,44,46
THE ONE,208,402,99,72
THE MAJOR,874,540,110,82
PERSEPHONE,403,726,169,113
ELEUSIS,419,540,102,82
COMPELLING,244,636,144,87
GIMEL,71,276,82,46
